timestamp,kpi_value
04/12/2018 00:00:00,465048
04/12/2018 00:15:00,461885
04/12/2018 00:30:00,455144
04/12/2018 00:45:00,456757
04/12/2018 01:00:00,458557
04/12/2018 01:15:00,452761
04/12/2018 01:30:00,452286
04/12/2018 01:45:00,455049
04/12/2018 02:00:00,453861
04/12/2018 02:15:00,450344
04/12/2018 02:30:00,452917
04/12/2018 02:45:00,453474
04/12/2018 03:00:00,448437
04/12/2018 03:15:00,456172
04/12/2018 03:30:00,457106
04/12/2018 03:45:00,451248
04/12/2018 04:00:00,453291
04/12/2018 04:15:00,452667
04/12/2018 04:30:00,449207
04/12/2018 04:45:00,449513
04/12/2018 05:00:00,454910
04/12/2018 05:15:00,454984
04/12/2018 05:30:00,454367
04/12/2018 05:45:00,467816
04/12/2018 06:00:00,470119
04/12/2018 06:15:00,471815
04/12/2018 06:30:00,481981
04/12/2018 06:45:00,490934
04/12/2018 07:00:00,491447
04/12/2018 07:15:00,497645
04/12/2018 07:30:00,504929
04/12/2018 07:45:00,505304
04/12/2018 08:00:00,501564
04/12/2018 08:15:00,509944
04/12/2018 08:30:00,508900
04/12/2018 08:45:00,503690
04/12/2018 09:00:00,507327
04/12/2018 09:15:00,510063
04/12/2018 09:30:00,506828
04/12/2018 09:45:00,505732
04/12/2018 10:00:00,512487
04/12/2018 10:15:00,509933
04/12/2018 10:30:00,504750
04/12/2018 10:45:00,512455
04/12/2018 11:00:00,514614
04/12/2018 11:15:00,510429
04/12/2018 11:30:00,515892
04/12/2018 11:45:00,517372
04/12/2018 12:00:00,513190
04/12/2018 12:15:00,507572
04/12/2018 12:30:00,512801
04/12/2018 12:45:00,510046
04/12/2018 13:00:00,507319
04/12/2018 13:15:00,509605
04/12/2018 13:30:00,510450
04/12/2018 13:45:00,503523
04/12/2018 14:00:00,505707
04/12/2018 14:15:00,507557
04/12/2018 14:30:00,505687
04/12/2018 14:45:00,502516
04/12/2018 15:00:00,512611
04/12/2018 15:15:00,507599
04/12/2018 15:30:00,504448
04/12/2018 15:45:00,510147
04/12/2018 16:00:00,513199
04/12/2018 16:15:00,509640
04/12/2018 16:30:00,511827
04/12/2018 16:45:00,517689
04/12/2018 17:00:00,517396
04/12/2018 17:15:00,513105
04/12/2018 17:30:00,521847
04/12/2018 17:45:00,518091
04/12/2018 18:00:00,512222
04/12/2018 18:15:00,515506
04/12/2018 18:30:00,517168
04/12/2018 18:45:00,510830
04/12/2018 19:00:00,510362
04/12/2018 19:15:00,511648
04/12/2018 19:30:00,508456
04/12/2018 19:45:00,502923
04/12/2018 20:00:00,509079
04/12/2018 20:15:00,505422
04/12/2018 20:30:00,498828
04/12/2018 20:45:00,502199
04/12/2018 21:00:00,501952
04/12/2018 21:15:00,494523
04/12/2018 21:30:00,491046
04/12/2018 21:45:00,492852
04/12/2018 22:00:00,488542
04/12/2018 22:15:00,479919
04/12/2018 22:30:00,483234
04/12/2018 22:45:00,478864
04/12/2018 23:00:00,470225
04/12/2018 23:15:00,471237
04/12/2018 23:30:00,470077
04/12/2018 23:45:00,464022
04/13/2018 00:00:00,504561
04/13/2018 00:15:00,509952
04/13/2018 00:30:00,466122
04/13/2018 00:45:00,442666
04/13/2018 01:00:00,470975
04/13/2018 01:15:00,466745
04/13/2018 01:30:00,430317
04/13/2018 01:45:00,497438
04/13/2018 02:00:00,476317
04/13/2018 02:15:00,421651
04/13/2018 02:30:00,442745
04/13/2018 02:45:00,488226
04/13/2018 03:00:00,441750
04/13/2018 03:15:00,430145
04/13/2018 03:30:00,485328
04/13/2018 03:45:00,457604
04/13/2018 04:00:00,422835
04/13/2018 04:15:00,474984
04/13/2018 04:30:00,468835
04/13/2018 04:45:00,423113
04/13/2018 05:00:00,445530
04/13/2018 05:15:00,485774
04/13/2018 05:30:00,445243
04/13/2018 05:45:00,443962
04/13/2018 06:00:00,497701
04/13/2018 06:15:00,477091
04/13/2018 06:30:00,452693
04/13/2018 06:45:00,512027
04/13/2018 07:00:00,509230
04/13/2018 07:15:00,471822
04/13/2018 07:30:00,499292
04/13/2018 07:45:00,531922
04/13/2018 08:00:00,494733
04/13/2018 08:15:00,489816
04/13/2018 08:30:00,535221
04/13/2018 08:45:00,508258
04/13/2018 09:00:00,484142
04/13/2018 09:15:00,527864
04/13/2018 09:30:00,521949
04/13/2018 09:45:00,484643
