timestamp,kpi_value,request_count
2020-08-20T14:46:00.000+08:00,0.99722371559825,1553155
2020-08-20T14:47:00.000+08:00,0.997249871158436,1546473
2020-08-20T14:48:00.000+08:00,0.9972089363459308,1537765
2020-08-20T14:49:00.000+08:00,0.9972274698563024,1536142
2020-08-20T14:50:00.000+08:00,0.997207697229501,1541022
2020-08-20T14:51:00.000+08:00,0.9971792250605492,1544611
2020-08-20T14:52:00.000+08:00,0.9971638626538536,1525314
2020-08-20T14:53:00.000+08:00,0.997050665747144,1525429
2020-08-20T14:54:00.000+08:00,0.9970691707272166,1520730
2020-08-20T14:55:00.000+08:00,0.9971347496276228,1520635
2020-08-20T14:56:00.000+08:00,0.9970132966686416,1515718
2020-08-20T14:57:00.000+08:00,0.9970549389685364,1502176
2020-08-20T14:58:00.000+08:00,0.9969268197272988,1492916
2020-08-20T14:59:00.000+08:00,0.9969972392528056,1450332
2020-08-20T15:00:00.000+08:00,0.9972202579343494,1617776
2020-08-20T15:01:00.000+08:00,0.9971152278262996,1569968
2020-08-20T15:02:00.000+08:00,0.9970577727611633,1545088
2020-08-20T15:03:00.000+08:00,0.997155817551444,1539634
2020-08-20T15:04:00.000+08:00,0.9970950880639724,1521905
2020-08-20T15:05:00.000+08:00,0.9970438442345028,1509731
2020-08-20T15:06:00.000+08:00,0.996988295405708,1507784
2020-08-20T15:07:00.000+08:00,0.9970848894639864,1494626
2020-08-20T15:08:00.000+08:00,0.9970300568555228,1474439
2020-08-20T15:09:00.000+08:00,0.9970617620869504,1472311
2020-08-20T15:10:00.000+08:00,0.9970978497182352,1479248
2020-08-20T15:11:00.000+08:00,0.9971295664206328,1466329
2020-08-20T15:12:00.000+08:00,0.9971179086601908,1458663
2020-08-20T15:13:00.000+08:00,0.9970061437352103,1461326
2020-08-20T15:14:00.000+08:00,0.9969684002723314,1462924
2020-08-20T15:15:00.000+08:00,0.9969871853037956,1465739
2020-08-20T15:16:00.000+08:00,0.9970361799652886,1460615
