timestamp,kpi_value,anomaly_label
2014/4/1 0:00,-21.04838268,0
2014/4/1 0:05,-20.29547687,0
2014/4/1 0:10,-18.12722947,0
2014/4/1 0:15,-20.1716654,0
2014/4/1 0:20,-21.22376161,0
2014/4/1 0:25,-19.10449113,0
2014/4/1 0:30,-21.5894465,0
2014/4/1 0:35,-18.94504163,0
2014/4/1 0:40,-18.30589253,0
2014/4/1 0:45,-18.63975724,0
2014/4/1 0:50,-21.34801147,0
2014/4/1 0:55,-19.66922368,0
2014/4/1 1:00,-21.18778225,0
2014/4/1 1:05,-20.12493224,0
2014/4/1 1:10,-19.9222365,0
2014/4/1 1:15,-21.22765261,0
2014/4/1 1:20,-19.69395045,0
2014/4/1 1:25,-21.20813092,0
2014/4/1 1:30,-18.40264866,0
2014/4/1 1:35,-20.54524326,0
2014/4/1 1:40,-20.81034823,0
2014/4/1 1:45,-21.59638958,0
2014/4/1 1:50,-18.89729567,0
2014/4/1 1:55,-20.41687952,0
2014/4/1 2:00,-19.73302625,0
2014/4/1 2:05,-19.53108662,0
2014/4/1 2:10,-18.42685422,0
2014/4/1 2:15,-18.53693332,0
2014/4/1 2:20,-21.34795385,0
2014/4/1 2:25,-20.99901373,0
2014/4/1 2:30,-19.52936452,0
2014/4/1 2:35,-21.31394633,0
2014/4/1 2:40,-18.32306474,0
2014/4/1 2:45,-20.49909567,0
2014/4/1 2:50,-21.47270421,0
2014/4/1 2:55,-21.35545692,0
2014/4/1 3:00,-19.49113104,0
2014/4/1 3:05,-20.98093541,0
2014/4/1 3:10,-19.70987258,0
2014/4/1 3:15,-21.36055266,0
2014/4/1 3:20,-20.123047800000002,0
2014/4/1 3:25,-21.0594282,0
2014/4/1 3:30,-18.31428633,0
2014/4/1 3:35,-20.36010389,0
2014/4/1 3:40,-20.20113671,0
2014/4/1 3:45,-20.43990689,0
2014/4/1 3:50,-20.78256643,0
2014/4/1 3:55,-21.67243588,0
2014/4/1 4:00,-21.14272833,0
2014/4/1 4:05,-18.87855197,0
2014/4/1 4:10,-21.30358508,0
2014/4/1 4:15,-18.48831871,0
2014/4/1 4:20,-20.48879434,0
2014/4/1 4:25,-21.53101523,0
2014/4/1 4:30,-18.40448822,0
2014/4/1 4:35,-21.39877061,0
2014/4/1 4:40,-21.19448294,0
2014/4/1 4:45,-20.01510174,0
2014/4/1 4:50,-19.23559041,0
2014/4/1 4:55,-19.62175291,0
2014/4/1 5:00,-21.87463254,0
2014/4/1 5:05,-18.80679022,0
2014/4/1 5:10,-20.31841715,0
2014/4/1 5:15,-18.33296299,0
2014/4/1 5:20,-18.87157226,0
2014/4/1 5:25,-21.05326555,0
2014/4/1 5:30,-19.21039616,0
2014/4/1 5:35,-21.94306428,0
2014/4/1 5:40,-20.00326817,0
2014/4/1 5:45,-20.0661573,0
2014/4/1 5:50,-18.14525896,0
2014/4/1 5:55,-21.826107,0
2014/4/1 6:00,-18.69693376,0
2014/4/1 6:05,-20.1533624,0
2014/4/1 6:10,-19.58269844,0
2014/4/1 6:15,-19.6623388,0
2014/4/1 6:20,-20.57320066,0
2014/4/1 6:25,-20.64835471,0
2014/4/1 6:30,-18.61715446,0
2014/4/1 6:35,-19.99834661,0
2014/4/1 6:40,-21.1619098,0
2014/4/1 6:45,-19.77314593,0
2014/4/1 6:50,-18.66321788,0
2014/4/1 6:55,-19.25286777,0
2014/4/1 7:00,-18.84951826,0
